frameID,eventType,player1Position,player2Position,ballPosition,speed
1011,,"[5.2, 46.3, 0.0]","[-0.34, -46.84, 0.0]",,
1012,,"[5.4, 46.3, 0.0]","[-0.24, -46.84, 0.0]",,
1013,,"[5.6, 46.3, 0.0]","[-0.13, -46.84, 0.0]",,
1014,,"[5.8, 46.2, 0.0]","[-0.13, -46.84, 0.0]",,
1015,,"[5.8, 46.2, 0.0]","[-0.13, -46.84, 0.0]",,
1016,,"[5.9, 46.2, 0.0]","[-0.13, -46.84, 0.0]",,
1017,,"[5.9, 46.2, 0.0]","[-0.24, -46.84, 0.0]",,
1018,,"[6.0, 46.2, 0.0]","[-0.44, -46.84, 0.0]",,
1019,,"[6.1, 46.2, 0.0]","[-0.54, -46.84, 0.0]",,
1020,,"[6.2, 46.2, 0.0]","[-0.54, -48.44, 0.0]",,
1021,,"[6.3, 46.2, 0.0]","[-0.65, -48.44, 0.0]",,
1022,,"[6.5, 46.2, 0.0]","[-0.85, -48.44, 0.0]",,
1023,,"[6.6, 46.2, 0.0]","[-0.96, -46.84, 0.0]",,
1024,,"[6.7, 46.2, 0.0]","[-1.06, -46.84, 0.0]",,
1025,,"[6.7, 46.2, 0.0]","[-1.06, -46.84, 0.0]",,
1026,,"[6.8, 46.2, 0.0]","[-1.47, -46.83, 0.0]",,
1027,,"[6.9, 46.2, 0.0]","[-1.37, -46.83, 0.0]",,
1028,,"[6.9, 46.2, 0.0]","[-1.47, -46.83, 0.0]",,
1029,,"[7.0, 46.2, 0.0]","[-1.69, -48.44, 0.0]",,
1030,,"[7.0, 46.2, 0.0]","[-1.69, -48.44, 0.0]",,
1031,,"[7.0, 46.2, 0.0]","[-1.69, -48.44, 0.0]",,
1032,,"[7.1, 46.2, 0.0]","[-1.9, -48.43, 0.0]",,
1033,,"[7.1, 46.2, 0.0]","[-2.39, -53.52, 0.0]",,
1034,,"[7.1, 46.2, 0.0]","[20.01, -3.66, 0.0]",,
1035,,"[7.1, 46.2, 0.0]","[-2.39, -53.52, 0.0]",,
1036,,"[7.0, 46.2, 0.0]","[-2.29, -46.83, 0.0]",,
1037,,"[7.0, 46.2, 0.0]","[-2.6, -46.83, 0.0]",,
1038,,"[7.0, 46.2, 0.0]","[-2.6, -46.83, 0.0]",,
1039,,"[6.9, 46.2, 0.0]","[-2.73, -48.43, 0.0]",,
1040,,"[6.7, 46.2, 0.0]","[-2.63, -48.43, 0.0]",,
1041,,"[6.4, 46.2, 0.0]","[-3.15, -48.43, 0.0]",,
1042,,"[6.2, 46.2, 0.0]","[-3.36, -48.43, 0.0]",,
1043,,"[5.9, 46.2, 0.0]","[-3.61, -50.08, 0.0]",,
1044,,"[5.6, 46.3, 0.0]","[-3.15, -48.43, 0.0]",,
1045,,"[5.6, 46.3, 0.0]","[-3.15, -48.43, 0.0]",,
1046,,"[5.4, 46.3, 0.0]","[-3.46, -48.43, 0.0]",,
1047,,"[5.1, 46.3, 0.0]","[-3.88, -48.43, 0.0]",,
1048,,"[4.9, 46.3, 0.0]","[-4.09, -48.43, 0.0]",,
1049,,"[4.7, 46.3, 0.0]","[-4.4, -48.43, 0.0]",,
1050,,"[4.7, 46.3, 0.0]","[-5.24, -48.42, 0.0]",,
1051,,"[4.8, 46.3, 0.0]","[-5.38, -46.82, 0.0]",,
1052,,"[4.9, 46.3, 0.0]","[-5.83, -50.07, 0.0]",,
